storeNum	address	lv2Name	lvl2Email	lvl3Name	lvl3Email	lvl4name	lv4Email	store name	storeEmail	Sort
4161	4161 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area7	Area7@test.com	store4161	store4161@test.com	0.67177953
2005	2005 Park St	Corporate	corporate@test.com	Region1	Region1@test.com	Area4	Area4@test.com	store2005	store2005@test.com	0.112114339
8215	8215 Park St	Franchise	franchise@test.com	Region4	Region4@test.com	Area14	Area14@test.com	store8215	store8215@test.com	0.263762002
2846	2846 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area5	Area5@test.com	store2846	store2846@test.com	0.605864676
7377	7377 Park St	Franchise	franchise@test.com	Region3	Region3@test.com	Area12	Area12@test.com	store7377	store7377@test.com	0.409550887
3274	3274 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area6	Area6@test.com	store3274	store3274@test.com	0.893640502
1692	1692 Park St	Corporate	corporate@test.com	Region1	Region1@test.com	Area3	Area3@test.com	store1692	store1692@test.com	0.567427833
7357	7357 Park St	Franchise	franchise@test.com	Region3	Region3@test.com	Area12	Area12@test.com	store7357	store7357@test.com	0.226298922
2872	2872 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area5	Area5@test.com	store2872	store2872@test.com	0.435344744
3460	3460 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area6	Area6@test.com	store3460	store3460@test.com	0.76107695
92	92 Park St	Corporate	corporate@test.com	Region1	Region1@test.com	Area1	Area1@test.com	store92	store92@test.com	0.362454768
7714	7714 Park St	Franchise	franchise@test.com	Region4	Region4@test.com	Area13	Area13@test.com	store7714	store7714@test.com	0.645455238
4574	4574 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area8	Area8@test.com	store4574	store4574@test.com	0.444237692
7328	7328 Park St	Franchise	franchise@test.com	Region3	Region3@test.com	Area12	Area12@test.com	store7328	store7328@test.com	0.394334799
7304	7304 Park St	Franchise	franchise@test.com	Region3	Region3@test.com	Area12	Area12@test.com	store7304	store7304@test.com	0.183264902
3644	3644 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area6	Area6@test.com	store3644	store3644@test.com	0.863347376
9049	9049 Park St	Franchise	franchise@test.com	Region4	Region4@test.com	Area15	Area15@test.com	store9049	store9049@test.com	0.464713216
4870	4870 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area8	Area8@test.com	store4870	store4870@test.com	0.308329208
2529	2529 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area5	Area5@test.com	store2529	store2529@test.com	0.212640085
5663	5663 Park St	Franchise	franchise@test.com	Region3	Region3@test.com	Area10	Area10@test.com	store5663	store5663@test.com	0.621871772
7218	7218 Park St	Franchise	franchise@test.com	Region3	Region3@test.com	Area12	Area12@test.com	store7218	store7218@test.com	0.251354512
4969	4969 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area8	Area8@test.com	store4969	store4969@test.com	0.080085889
8059	8059 Park St	Franchise	franchise@test.com	Region4	Region4@test.com	Area13	Area13@test.com	store8059	store8059@test.com	0.382677808
3183	3183 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area6	Area6@test.com	store3183	store3183@test.com	0.501309634
9298	9298 Park St	Franchise	franchise@test.com	Region4	Region4@test.com	Area15	Area15@test.com	store9298	store9298@test.com	0.929265386
6542	6542 Park St	Franchise	franchise@test.com	Region3	Region3@test.com	Area11	Area11@test.com	store6542	store6542@test.com	0.15686079
7505	7505 Park St	Franchise	franchise@test.com	Region4	Region4@test.com	Area13	Area13@test.com	store7505	store7505@test.com	0.566297498
6842	6842 Park St	Franchise	franchise@test.com	Region3	Region3@test.com	Area11	Area11@test.com	store6842	store6842@test.com	0.131783476
7030	7030 Park St	Franchise	franchise@test.com	Region3	Region3@test.com	Area12	Area12@test.com	store7030	store7030@test.com	0.832696489
6364	6364 Park St	Franchise	franchise@test.com	Region3	Region3@test.com	Area11	Area11@test.com	store6364	store6364@test.com	0.657953551
8894	8894 Park St	Franchise	franchise@test.com	Region4	Region4@test.com	Area15	Area15@test.com	store8894	store8894@test.com	0.871509102
6835	6835 Park St	Franchise	franchise@test.com	Region3	Region3@test.com	Area11	Area11@test.com	store6835	store6835@test.com	0.067949019
8802	8802 Park St	Franchise	franchise@test.com	Region4	Region4@test.com	Area15	Area15@test.com	store8802	store8802@test.com	0.794442642
4071	4071 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area7	Area7@test.com	store4071	store4071@test.com	0.552217871
3508	3508 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area6	Area6@test.com	store3508	store3508@test.com	0.618593081
1109	1109 Park St	Corporate	corporate@test.com	Region1	Region1@test.com	Area2	Area2@test.com	store1109	store1109@test.com	0.769380676
7997	7997 Park St	Franchise	franchise@test.com	Region4	Region4@test.com	Area13	Area13@test.com	store7997	store7997@test.com	0.805174831
7876	7876 Park St	Franchise	franchise@test.com	Region4	Region4@test.com	Area13	Area13@test.com	store7876	store7876@test.com	0.893422039
3744	3744 Park St	Corporate	corporate@test.com	Region2	Region2@test.com	Area6	Area6@test.com	store3744	store3744@test.com	0.550335555
8509	8509 Park St	Franchise	franchise@test.com	Region4	Region4@test.com	Area14	Area14@test.com	store8509	store8509@test.com	0.446232163
